assetIssued;factor;approvedOn;isinCode;label;lastDatePrior;remarks
BRMTOFCTF003;1.000,00000000000;29/04/2021;BRMTOFCTF003;DESDOBRAMENTO;03/05/2021;
BRMTOFCTF003;0,08333333334;29/04/2021;BRMTOFCTF003;GRUPAMENTO;03/05/2021;
BRAIECCTF009;0,01000000000;03/09/2020;BRAIECCTF009;GRUPAMENTO;09/09/2020;
;100,00000000000;01/12/2021;BRBLMGR06M19;RESG TOTAL RV;01/12/2021;
;100,00000000000;01/12/2021;BRBLMGR08M17;RESG TOTAL RV;01/12/2021;
BRBLMRCTF002;900,00000000000;24/09/2021;BRBLMRCTF002;DESDOBRAMENTO;28/09/2021;
BRCARECTF000;0,20000000000;27/10/2021;BRCARECTF000;GRUPAMENTO;29/11/2021;
;100,00000000000;02/03/2017;BRCARER01M13;RESG TOTAL RV;06/03/2017;
BRBRCOCTF007;0,01000000000;04/12/2019;BRBRCOCTF007;GRUPAMENTO;04/12/2019;
;100,00000000000;10/09/2021;BRBTLGR18M18;RESG TOTAL RV;13/09/2021;
BRCXRICTF003;900,00000000000;14/08/2020;BRCXRICTF003;DESDOBRAMENTO;09/09/2020;
;100,00000000000;30/03/2020;BRCPFFR02M18;RESG TOTAL RV;01/04/2020;
;100,00000000000;30/03/2020;BRCPFFR03M17;RESG TOTAL RV;01/04/2020;
;100,00000000000;29/04/2016;BRCPTSR01M18;RESG TOTAL RV;02/05/2016;
BRCBOPCTF001;900,00000000000;16/04/2018;BRCBOPCTF001;DESDOBRAMENTO;16/04/2018;
;100,00000000000;13/03/2020;BRHGFFR01M15;RESG TOTAL RV;13/03/2020;
BRHGLGCTF004;900,00000000000;17/04/2018;BRHGLGCTF004;DESDOBRAMENTO;17/04/2018;
BRHGRECTF006;900,00000000000;19/04/2018;BRHGRECTF006;DESDOBRAMENTO;19/04/2018;
BRHGCRCTF000;900,00000000000;09/10/2017;BRHGCRCTF000;DESDOBRAMENTO;09/10/2017;
BREGYRCTF001;0,25000000000;09/08/2021;BREGYRCTF001;GRUPAMENTO;09/08/2021;
BRERPACTF002;0,00040400000;21/03/2022;BRERPACTF002;DESDOBRAMENTO;24/03/2022;
BRVRTACTF008;0,01000000000;03/06/2011;BRVRTACTF008;GRUPAMENTO;03/06/2011;
BRBMIICTF007;0,01000000000;10/01/2011;BRBMIICTF007;GRUPAMENTO;06/04/2011;
BRGAMECTF002;900,00000000000;09/03/2022;BRGAMECTF002;DESDOBRAMENTO;10/03/2022;
BRFCFLCTF009;1.900,00000000000;24/09/2019;BRFCFLCTF009;DESDOBRAMENTO;30/09/2019;
BRMAXRCTF009;1.800,00000000000;26/04/2021;BRMAXRCTF009;DESDOBRAMENTO;26/04/2021;
;100,00000000000;05/11/2018;BRJRDMR13M19;RESG TOTAL RV;05/11/2018;
;100,00000000000;02/06/2022;BRTBOFCTF006;RESG TOTAL RV;02/06/2022;
BRNCHBCTF000;200,00000000000;30/12/2019;BRNCHBCTF000;DESDOBRAMENTO;17/01/2020;
BRCXCECTF004;2.400,00000000000;24/06/2020;BRCXCECTF004;DESDOBRAMENTO;17/07/2020;
