Type;AssetCodeISIN;DeclarationDate;ExDate;CashAmount;Period;PaymentDate;Notes;Hash
RENDIMENTO;BRHCRACTF003;2022-06-07;2022-06-09;1.06000000000;maio/2022;2022-06-14;;3352948873425858375
RENDIMENTO;BRHCRAR01M10;2022-06-07;2022-06-09;1.05000000000;maio/2022;2022-06-14;;18294405226592595925
RENDIMENTO;BRHCRACTF011;2022-05-06;2022-05-06;0.65000000000;Abril/2022;2022-05-13;;9367484337447751688
RENDIMENTO;BRBTAGCTF003;2022-05-31;2022-05-31;1.20000000000;MAIO/2022;2022-06-14;;6808578224875268019
RENDIMENTO;BRBTAGCTF003;2022-04-29;2022-04-29;0.99000000000;abril/2022;2022-05-13;;14309525763326506816
RENDIMENTO;BRBTAGCTF003;2022-03-31;2022-03-31;0.75000000000;março/2022;2022-04-14;;7507654488024323747
AMORTIZACAO RF;BRBBVHCTF005;2022-04-19;2022-04-25;123.00000000000;Abril/2022;2022-04-29;;1085087353951859872
RENDIMENTO;BRBBVHCTF005;2021-12-16;2021-12-27;81.00000000000;2º semestre/2021;2022-01-04;;13991096675156548379
AMORTIZACAO RF;BRBBVHCTF005;2021-08-25;2021-08-30;98.00000000000;AGO/2020/2020;2021-09-06;;14290627435638691045
RENDIMENTO;BRBBVHCTF005;2021-07-01;2021-07-06;25.00000000000;1º semestre 2021/2021;2021-07-14;;11735191439408520974
RENDIMENTO;BRITITCTF004;2022-05-31;2022-05-31;0.54000000000;Maio/2022;2022-06-14;;14410350572151319658
RENDIMENTO;BRITITCTF004;2022-04-29;2022-04-29;0.56000000000;Abril/2022;2022-05-13;;9421589047926022359
RENDIMENTO;BRITITCTF004;2022-03-31;2022-03-31;0.55000000000;Março/2022;2022-04-14;;920649041309261498
RENDIMENTO;BRITITCTF004;2022-02-25;2022-02-25;0.55000000000;Fevereiro/2022;2022-03-15;;13393140164002419618
RENDIMENTO;BRITITCTF004;2022-01-31;2022-01-31;0.53000000000;Janeiro/2022;2022-02-14;;6948642616544949522
RENDIMENTO;BRLAVFCTF000;2022-05-05;2022-05-05;1.30000000000;ABRIL/2022/2022;2022-05-13;;10165802842955345435
RENDIMENTO;BRLAVFCTF000;2022-04-06;2022-04-06;3.38000000000;MARÇO/2022/2022;2022-04-14;;17160052407297972019
RENDIMENTO;BRLAVFCTF000;2022-03-07;2022-03-07;1.98000000000;FEVEREIRO/2022/2022;2022-03-15;;16692172573647639636
RENDIMENTO;BRLAVFCTF000;2022-02-04;2022-02-04;3.92000000000;JANEIRO/2022/2022;2022-02-14;;14853118708264899888
RENDIMENTO;BRAFHICTF005;2022-06-14;2022-06-14;1.40000000000;Maio/2022;2022-06-22;;5704780926279115887
RENDIMENTO;BRAFHIR02M17;2022-06-14;2022-06-14;0.67682449300;Maio/2022;2022-06-22;;15408984728255635408
RENDIMENTO;BRAFHIR03M16;2022-06-14;2022-06-14;0.31520584800;Maio/2022;2022-06-22;;4860458716335120763
RENDIMENTO;BRAFHIR04M15;2022-06-14;2022-06-14;0.31520584800;Maio/2022;2022-06-22;;11854503970113344369
RENDIMENTO;BRAFHIR05M14;2022-06-14;2022-06-14;0.20956176200;Maio/2022;2022-06-22;;8598767067248017133
RENDIMENTO;BRAFHICTF005;2022-05-13;2022-05-13;1.35000000000;Abril/2022;2022-05-20;;6114059920312644753
RENDIMENTO;BRAFHICTF005;2022-04-14;2022-04-14;1.35000000000;Março/2022;2022-04-25;;12500392752385215419
RENDIMENTO;BRAFHICTF005;2022-03-15;2022-03-15;1.30000000000;Fevereiro/2022;2022-03-22;;3744940001011301765
RENDIMENTO;BRAFHICTF005;2022-02-14;2022-02-14;1.30000000000;Janeiro/2022;2022-02-21;;6948408649286572733
RENDIMENTO;BRAFHICTF005;2022-01-14;2022-01-14;1.30000000000;Dezembro/2021;2022-01-21;;7494025844707190609
RENDIMENTO;BRAFHICTF005;2021-12-14;2021-12-14;1.25000000000;Novembro/2021;2021-12-21;;13612963092095693730
RENDIMENTO;BRAFHICTF005;2021-11-16;2021-11-16;1.20000000000;Outubro/2021;2021-11-23;;1626045315118795496
RENDIMENTO;BRAFHICTF005;2021-10-15;2021-10-15;1.05000000000;Setembro/2021;2021-10-22;;11926733121341359690
RENDIMENTO;BRAFHICTF005;2021-09-15;2021-09-15;1.00000000000;Agosto/2021;2021-09-22;;15753179420418950534
RENDIMENTO;BRAFHICTF005;2021-08-13;2021-08-13;0.90000000000;Julho/2021;2021-08-20;;7764472529233839595
RENDIMENTO;BRAFHICTF005;2021-07-15;2021-07-15;0.90000000000;Junho/2021;2021-07-22;;18193854905981833715
RENDIMENTO;BRAFOFCTF007;2022-06-14;2022-06-14;1.07947904965;Maio/2022;2022-06-22;;14781933551210041567
RENDIMENTO;BRAFOFCTF007;2022-05-13;2022-05-13;1.13550000000;Abril/2022;2022-05-20;;5048004264491037505
RENDIMENTO;BRAFOFCTF007;2022-04-14;2022-04-14;1.00576000000;Março/2022;2022-04-25;;11499632214173975867
RENDIMENTO;BRAFOFCTF007;2022-03-15;2022-03-15;0.99550000000;Fevereiro/2022;2022-03-22;;6165217267459433875
RENDIMENTO;BRAFOFCTF007;2022-02-14;2022-02-14;0.96000000000;Janeiro/2022;2022-02-21;;1880641871265147569
RENDIMENTO;BRAFOFCTF007;2022-01-14;2022-01-14;0.84000000000;Dezembro/2021;2022-01-21;;17702247783939072261
RENDIMENTO;BRAFOFCTF007;2021-12-14;2021-12-14;0.84000000000;Novembro/2021;2021-12-21;;6251000703130352860
RENDIMENTO;BRAFOFCTF007;2021-11-16;2021-11-16;0.84000000000;Outubro/2021;2021-11-23;;9971910711132690949
RENDIMENTO;BRAFOFCTF007;2021-10-15;2021-10-15;0.83700000000;Setembro/2021;2021-10-22;;1595698244341320734
RENDIMENTO;BRAFOFCTF007;2021-09-15;2021-09-15;0.67014459079;Agosto/2021;2021-09-22;;12222567820717311891
RENDIMENTO;BRAFOFCTF007;2021-08-13;2021-08-13;0.60000000000;Julho/2021;2021-08-20;;12571776583513881403
RENDIMENTO;BRAFOFCTF007;2021-07-14;2021-07-14;3.54172866920;1º Semestre 2021/2021;2021-07-21;;11758145408467407544
RENDIMENTO;BRAFOFR01M12;2021-07-07;2021-07-07;0.00131493300;Junho/2021;2021-07-15;;3454960469732906861
RENDIMENTO;BRAFOFR02M11;2021-07-07;2021-07-07;0.07421104200;Junho/2021;2021-07-15;;11627669062985760438
RENDIMENTO;BRALZRCTF006;2022-06-17;2022-06-17;0.78068170400;Maio/2022;2022-06-24;;5795571842652849549
RENDIMENTO;BRALZRCTF006;2022-05-18;2022-05-18;0.77561000000;Abril/2022;2022-05-25;;14437323375858978209
RENDIMENTO;BRALZRCTF006;2022-04-14;2022-04-14;0.77155600000;Março/2022;2022-04-25;;17523970373206403989
RENDIMENTO;BRALZRCTF006;2022-03-18;2022-03-18;0.76339786200;Fevereiro/2022;2022-03-25;;7167018056013982658
RENDIMENTO;BRALZRCTF006;2022-02-18;2022-02-18;0.72545297500;Janeiro/2022;2022-02-25;;3470551904176366451
RENDIMENTO;BRALZRCTF006;2022-01-18;2022-01-18;0.74861571600;Dezembro/2021;2022-01-25;;3219883726818764092
RENDIMENTO;BRALZRCTF006;2021-12-16;2021-12-16;0.65255380900;Novembro/2021;2021-12-23;;17373530349727130249
RENDIMENTO;BRALZRCTF006;2021-11-18;2021-11-18;0.63774229300;Outubro/2021;2021-11-25;;6145506559672645120
RENDIMENTO;BRALZRCTF006;2021-10-18;2021-10-18;0.61971418400;Setembro/2021;2021-10-25;;3787676812466653904
